"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000138722.10","HAVANA","gene",NA,NA,"ENSG00000138722.10","protein_coding","MMRN1","1","HGNC:7178","OTTHUMG00000130947.3",2.05742621054634,0.93816095468111,3.03239169422306,0.00254312238987653,0.144051988871569,-1.78608190728201
"ENSG00000198088.10","HAVANA","gene",NA,NA,"ENSG00000198088.10","protein_coding","NUP62CL","2","HGNC:25960","OTTHUMG00000022159.4",-2.07083386660911,0.665168592802329,-3.02316328545282,0.00262061948565542,0.14762981007206,-1.68406635247845
"ENSG00000162572.21","HAVANA","gene",NA,NA,"ENSG00000162572.21","protein_coding","SCNN1D","2","HGNC:10601","OTTHUMG00000002081.8",1.27423059228014,1.37426927821275,3.02293364551552,0.00262257524237027,0.14762981007206,-1.78201552462235
"ENSG00000213186.8","HAVANA","gene",NA,NA,"ENSG00000213186.8","protein_coding","TRIM59","2","HGNC:30834","OTTHUMG00000159034.4",-1.09675211135696,3.72675426567343,-3.01840025298264,0.00266145940001201,0.149354839271262,-1.79343560529911
"ENSG00000137941.17","HAVANA","gene",NA,NA,"ENSG00000137941.17","protein_coding","TTLL7","2","HGNC:26242","OTTHUMG00000009932.7",-2.09647137726702,2.77024739452156,-3.01391776556424,0.00270042579268932,0.151073820735453,-1.72837025574049
"ENSG00000052344.16","HAVANA","gene",NA,NA,"ENSG00000052344.16","protein_coding","PRSS8","1","HGNC:9491","OTTHUMG00000176750.5",-1.34748440316531,7.01040852460624,-3.01167902114588,0.00272008238015085,0.151165425855282,-2.05946603737187
"ENSG00000185972.6","HAVANA","gene",NA,NA,"ENSG00000185972.6","protein_coding","CCIN","2","HGNC:1568","OTTHUMG00000019901.2",-1.51120658349271,-1.18289483226057,-3.01133812393602,0.00272308699473452,0.151165425855282,-1.71224921267028
"ENSG00000140400.17","HAVANA","gene",NA,NA,"ENSG00000140400.17","protein_coding","MAN2C1","1","HGNC:6827","OTTHUMG00000172698.7",0.666449067454876,4.70534427467314,3.01020959587752,0.00273305537260671,0.151165425855282,-2.04984889592904
"ENSG00000175164.15","HAVANA","gene",NA,NA,"ENSG00000175164.15","protein_coding","ABO","2","HGNC:79","OTTHUMG00000020872.7",1.90282634919911,1.12972033782445,3.00994221890406,0.00273542202805542,0.151165425855282,-1.84989708030217
"ENSG00000173933.21","HAVANA","gene",NA,NA,"ENSG00000173933.21","protein_coding","RBM4","1","HGNC:9901","OTTHUMG00000154171.7",0.806961364560422,3.96573057816511,3.006788230109,0.00276348123248634,0.152072270510836,-2.02000289188282
"ENSG00000157423.18","HAVANA","gene",NA,NA,"ENSG00000157423.18","protein_coding","HYDIN","1","HGNC:19368","OTTHUMG00000137584.14",-2.6618454417946,-0.42186123257373,-3.00621475481737,0.00276861134660576,0.152072270510836,-1.72621175776101
"ENSG00000248329.6","HAVANA","gene",NA,NA,"ENSG00000248329.6","protein_coding","APELA","2","HGNC:48925","OTTHUMG00000161255.4",-2.68930828973852,-1.36157569852869,-3.00062897828399,0.00281903801906724,0.154286211134904,-1.74129823415018
"ENSG00000137474.22","HAVANA","gene",NA,NA,"ENSG00000137474.22","protein_coding","MYO7A","1","HGNC:7606","OTTHUMG00000152822.7",1.32293490899645,2.49551580121806,2.99987137162009,0.0028259418568238,0.154286211134904,-1.94770051940797
"ENSG00000064218.5","HAVANA","gene",NA,NA,"ENSG00000064218.5","protein_coding","DMRT3","2","HGNC:13909","OTTHUMG00000019436.4",-1.7595634714941,-0.822202568322609,-2.99408089234958,0.00287922224877593,0.156723070514452,-1.75906105058819
"ENSG00000198517.10","HAVANA","gene",NA,NA,"ENSG00000198517.10","protein_coding","MAFK","2","HGNC:6782","OTTHUMG00000151453.3",0.880881106635043,3.87371687315365,2.99127994174449,0.00290532345403148,0.15767033810711,-2.06283532491764
"ENSG00000183153.7","HAVANA","gene",NA,NA,"ENSG00000183153.7","protein_coding","GJD3","2","HGNC:19147","OTTHUMG00000179634.3",1.1873130490825,0.159821448700234,2.98986129427716,0.00291862585753728,0.157919439682749,-1.80925817518393
"ENSG00000146477.6","HAVANA","gene",NA,NA,"ENSG00000146477.6","protein_coding","SLC22A3","2","HGNC:10967","OTTHUMG00000015953.2",2.047608317072,-0.166848376595544,2.98404562038199,0.00297374305826493,0.160093275028751,-1.8453396884402
"ENSG00000198795.11","HAVANA","gene",NA,NA,"ENSG00000198795.11","protein_coding","ZNF521","2","HGNC:24605","OTTHUMG00000179511.4",-2.03681373196137,4.27533562067186,-2.9837608106497,0.00297646660513567,0.160093275028751,-1.87169136365098
"ENSG00000223485.4","HAVANA","gene",NA,NA,"ENSG00000223485.4","lncRNA","LINC01615","1","HGNC:51898","OTTHUMG00000016054.5",-1.66494172953204,-0.545831805793246,-2.97942501548339,0.00301821126731648,0.161858276424197,-1.79900380273688
"ENSG00000181513.15","HAVANA","gene",NA,NA,"ENSG00000181513.15","protein_coding","ACBD4","2","HGNC:23337","OTTHUMG00000180111.2",0.999460136485825,3.12028951657525,2.97213685705056,0.00308958938907136,0.165197337068754,-2.06135947165105
"ENSG00000074706.13","HAVANA","gene",NA,NA,"ENSG00000074706.13","protein_coding","IPCEF1","1","HGNC:21204","OTTHUMG00000015872.5",1.34276100024134,0.974028653448211,2.96911900599601,0.00311959465570206,0.165929723113351,-1.91043979326552
"ENSG00000163013.12","HAVANA","gene",NA,NA,"ENSG00000163013.12","protein_coding","FBXO41","2","HGNC:29409","OTTHUMG00000164127.2",0.98629488715685,3.99905750404176,2.96656742871131,0.00314517154453628,0.165929723113351,-2.15063632395785
"ENSG00000197301.7","HAVANA","gene",NA,NA,"ENSG00000197301.7","lncRNA","HMGA2-AS1","1","HGNC:53973","OTTHUMG00000168956.1",-2.23379088716276,-1.00585189225094,-2.9654535168402,0.00315639733548749,0.165929723113351,-1.83606149525032
"ENSG00000282870.1","HAVANA","gene",NA,NA,"ENSG00000282870.1","unprocessed_pseudogene","FRG1DP","2","HGNC:51763","OTTHUMG00000191532.1",1.71416886125859,-1.76840763417969,2.96452750896265,0.00316575733104701,0.165929723113351,-1.85280279040953
"ENSG00000123095.6","HAVANA","gene",NA,NA,"ENSG00000123095.6","protein_coding","BHLHE41","2","HGNC:16617","OTTHUMG00000169174.2",-1.83998266603448,4.97539996969576,-2.96417701933822,0.00316930665875824,0.165929723113351,-1.98603854624385
"ENSG00000148848.14","HAVANA","gene",NA,NA,"ENSG00000148848.14","protein_coding","ADAM12","2","HGNC:190","OTTHUMG00000019243.3",-1.77867210624232,6.31463646923026,-2.96299135657762,0.00318134057314628,0.165929723113351,-2.12657367632438
"ENSG00000196154.12","HAVANA","gene",NA,NA,"ENSG00000196154.12","protein_coding","S100A4","2","HGNC:10494","OTTHUMG00000013546.4",-1.53788065705333,5.92706481253284,-2.96201096539205,0.00319132260462181,0.165929723113351,-2.11498839914227
"ENSG00000237515.9","HAVANA","gene",NA,NA,"ENSG00000237515.9","protein_coding","SHISA9","2","HGNC:37231","OTTHUMG00000154258.9",-4.1534800427089,1.3682776672748,-2.9617871766949,0.00319360515895154,0.165929723113351,-1.84612661640099
"ENSG00000103495.14","HAVANA","gene",NA,NA,"ENSG00000103495.14","protein_coding","MAZ","2","HGNC:6914","OTTHUMG00000190393.3",0.717338264516123,4.16420565774021,2.96118948168187,0.00319970872237347,0.165929723113351,-2.15808192921696
"ENSG00000070444.15","HAVANA","gene",NA,NA,"ENSG00000070444.15","protein_coding","MNT","1","HGNC:7188","OTTHUMG00000090603.8",0.494601228919628,4.38546505619086,2.96077170406186,0.0032039813267203,0.165929723113351,-2.16094558085094
"ENSG00000128710.6","HAVANA","gene",NA,NA,"ENSG00000128710.6","protein_coding","HOXD10","1","HGNC:5133","OTTHUMG00000132511.5",-1.82397667659881,-0.302765399227768,-2.96077150155999,0.00320398339896684,0.165929723113351,-1.84927051529697
"ENSG00000130300.9","HAVANA","gene",NA,NA,"ENSG00000130300.9","protein_coding","PLVAP","2","HGNC:13635","OTTHUMG00000182784.3",-0.982586009823868,6.51140234407323,-2.95832222028434,0.00322913722523952,0.166755958246985,-2.2069178874349
"ENSG00000126226.22","HAVANA","gene",NA,NA,"ENSG00000126226.22","protein_coding","PCID2","2","HGNC:25653","OTTHUMG00000017385.5",0.650875293714928,5.24259546727737,2.95676208648884,0.00324525355187875,0.16711211898112,-2.22355132978458
"ENSG00000242147.3","HAVANA","gene",NA,NA,"ENSG00000242147.3","lncRNA","LASTR","1","HGNC:54143","OTTHUMG00000017601.5",-1.90956542530302,-1.06195577264162,-2.95013907431006,0.00331449129882638,0.170193963973164,-1.87696927182707
"ENSG00000172732.12","HAVANA","gene",NA,NA,"ENSG00000172732.12","protein_coding","MUS81","1","HGNC:29814","OTTHUMG00000166633.5",0.58862399012913,4.61868480819526,2.94687572536798,0.00334910055411576,0.171485301253961,-2.22089760577247
"ENSG00000082497.12","HAVANA","gene",NA,NA,"ENSG00000082497.12","protein_coding","SERTAD4","2","HGNC:25236","OTTHUMG00000036391.2",-1.81709183172649,5.54588399681464,-2.94389888930828,0.00338095870402818,0.172057587564251,-2.10301833298007
"ENSG00000046653.15","HAVANA","gene",NA,NA,"ENSG00000046653.15","protein_coding","GPM6B","2","HGNC:4461","OTTHUMG00000021162.5",-2.00202620600753,3.49179517107711,-2.94388638194009,0.00338109313985261,0.172057587564251,-1.94332967557705
"ENSG00000164221.13","HAVANA","gene",NA,NA,"ENSG00000164221.13","protein_coding","CCDC112","1","HGNC:28599","OTTHUMG00000128894.4",-0.716473977731045,3.6651914282109,-2.94317437619064,0.00338875420724029,0.172057587564251,-2.0321415204941
"ENSG00000163874.11","HAVANA","gene",NA,NA,"ENSG00000163874.11","protein_coding","ZC3H12A","1","HGNC:26259","OTTHUMG00000004221.5",0.930491652321909,3.80416730396817,2.94144736008929,0.00340740251063026,0.172283285446153,-2.20234421507012
"ENSG00000283959.1","HAVANA","gene",NA,NA,"ENSG00000283959.1","lncRNA","AP002851.1","2",NA,"OTTHUMG00000191992.1",1.20465782718091,-1.66082418176137,2.94077005320493,0.0034147416045377,0.172283285446153,-1.91303365640574
"ENSG00000139899.11","HAVANA","gene",NA,NA,"ENSG00000139899.11","protein_coding","CBLN3","1","HGNC:20146","OTTHUMG00000171315.2",0.950754683515977,1.84434733997224,2.93989697452778,0.00342422331229924,0.172283285446153,-2.02516561575283
"ENSG00000130518.17","HAVANA","gene",NA,NA,"ENSG00000130518.17","protein_coding","IQCN","2","HGNC:29350","OTTHUMG00000183354.11",1.40771317803033,1.80391553170537,2.9392542713974,0.00343121847324624,0.172283285446153,-2.06661256965872
"ENSG00000129354.12","HAVANA","gene",NA,NA,"ENSG00000129354.12","protein_coding","AP1M2","1","HGNC:558","OTTHUMG00000180584.2",-1.14222286136229,6.64762709669632,-2.9370064881238,0.00345578598703075,0.172291234432396,-2.26572187870344
"ENSG00000077942.19","HAVANA","gene",NA,NA,"ENSG00000077942.19","protein_coding","FBLN1","2","HGNC:3600","OTTHUMG00000151340.4",-1.43129293280128,7.37624792416963,-2.93541550861176,0.00347327177635138,0.172291234432396,-2.28683781661906
"ENSG00000170390.16","HAVANA","gene",NA,NA,"ENSG00000170390.16","protein_coding","DCLK2","2","HGNC:19002","OTTHUMG00000161444.5",-1.52464233981803,2.39594455523713,-2.93473219642744,0.00348080653137468,0.172291234432396,-1.94742360392206
"ENSG00000168970.22","HAVANA","gene",NA,NA,"ENSG00000168970.22","protein_coding","JMJD7-PLA2G4B","1","HGNC:34449","OTTHUMG00000044442.6",1.21115004529522,0.538441215645693,2.93283572658722,0.00350179676661797,0.172291234432396,-1.98019339346204
"ENSG00000237037.9","HAVANA","gene",NA,NA,"ENSG00000237037.9","lncRNA","NDUFA6-DT","1","HGNC:45273","OTTHUMG00000150917.9",0.768187790580873,0.720078237252458,2.93272432256882,0.00350303337699236,0.172291234432396,-1.97070093763729
"ENSG00000113966.10","HAVANA","gene",NA,NA,"ENSG00000113966.10","protein_coding","ARL6","1","HGNC:13210","OTTHUMG00000159189.4",-0.84318509681306,2.92545630925968,-2.93265135908664,0.0035038435044669,0.172291234432396,-2.00177378387845
"ENSG00000249992.2","HAVANA","gene",NA,NA,"ENSG00000249992.2","protein_coding","TMEM158","2","HGNC:30293","OTTHUMG00000160317.3",-2.62057644581972,2.51748824392673,-2.93264529538621,0.00350391083858436,0.172291234432396,-1.93902235047017
"ENSG00000148019.14","HAVANA","gene",NA,NA,"ENSG00000148019.14","protein_coding","CEP78","2","HGNC:25740","OTTHUMG00000020062.14",-0.770379163291175,4.80640594510586,-2.93232957476334,0.00350741837722356,0.172291234432396,-2.16722472310307
"ENSG00000133101.10","HAVANA","gene",NA,NA,"ENSG00000133101.10","protein_coding","CCNA1","2","HGNC:1577","OTTHUMG00000016733.4",-2.1792817683821,-0.973489334751502,-2.9295327870632,0.00353862983100199,0.172763793942324,-1.93170116695028
"ENSG00000105722.10","HAVANA","gene",NA,NA,"ENSG00000105722.10","protein_coding","ERF","2","HGNC:3444","OTTHUMG00000182788.3",0.7507744990768,5.42164751060478,2.92902701290588,0.00354430112656051,0.172763793942324,-2.30903364768217
"ENSG00000145244.12","HAVANA","gene",NA,NA,"ENSG00000145244.12","protein_coding","CORIN","1","HGNC:19012","OTTHUMG00000099441.4",-2.35567052697518,2.03224645254479,-2.92890840261415,0.00354563231526781,0.172763793942324,-1.94699582928078
"ENSG00000138231.13","HAVANA","gene",NA,NA,"ENSG00000138231.13","protein_coding","DBR1","2","HGNC:15594","OTTHUMG00000159824.4",-0.495343225122294,4.45147385177716,-2.92395723335571,0.00360160894542102,0.175020814328958,-2.18226538883331
"ENSG00000134490.14","HAVANA","gene",NA,NA,"ENSG00000134490.14","protein_coding","TMEM241","2","HGNC:31723","OTTHUMG00000131771.8",-0.839223239775472,5.14984875097348,-2.91926744470215,0.00365537261045106,0.17680064527243,-2.23407641893301
"ENSG00000139174.12","HAVANA","gene",NA,NA,"ENSG00000139174.12","protein_coding","PRICKLE1","2","HGNC:17019","OTTHUMG00000169443.5",-1.65714500549571,3.3523549894541,-2.91904928661236,0.00365789129367263,0.17680064527243,-2.01796195825938
"ENSG00000287787.1","HAVANA","gene",NA,NA,"ENSG00000287787.1","lncRNA","AC092275.1","2",NA,"OTTHUMG00000195263.1",1.43719648629891,-1.44249369734574,2.91821857291206,0.00366749655866897,0.17680064527243,-1.97753618179616
"ENSG00000182796.14","HAVANA","gene",NA,NA,"ENSG00000182796.14","transcribed_unitary_pseudogene","TMEM198B","2","HGNC:43629","OTTHUMG00000154568.5",0.624000666089563,3.42257006963947,2.9091593052174,0.00377374892046116,0.181440246504719,-2.23186939591373
"ENSG00000068400.13","HAVANA","gene",NA,NA,"ENSG00000068400.13","protein_coding","GRIPAP1","2","HGNC:18706","OTTHUMG00000033192.10",0.558232791973687,5.67339813910444,2.90695314061199,0.0038000453415041,0.182221221852125,-2.37231799848323
"ENSG00000225756.1","HAVANA","gene",NA,NA,"ENSG00000225756.1","lncRNA","DBH-AS1","2","HGNC:24155","OTTHUMG00000020877.1",1.63158107645096,-0.759115024142724,2.90267781791001,0.00385148100054886,0.183135682103294,-2.03095911707563
"ENSG00000149418.11","HAVANA","gene",NA,NA,"ENSG00000149418.11","protein_coding","ST14","2","HGNC:11344","OTTHUMG00000165768.2",-1.14644808706342,7.30089325721812,-2.90260087650941,0.00385241245165518,0.183135682103294,-2.38358324316878
"ENSG00000175115.13","HAVANA","gene",NA,NA,"ENSG00000175115.13","protein_coding","PACS1","1","HGNC:30032","OTTHUMG00000166889.5",0.619443852361172,7.09035134452102,2.90101424037625,0.0038716660459332,0.183135682103294,-2.3863797504895
"ENSG00000101230.6","HAVANA","gene",NA,NA,"ENSG00000101230.6","protein_coding","ISM1","2","HGNC:16213","OTTHUMG00000031902.3",-2.04192943267339,2.76358604923272,-2.90051920131491,0.00387769118847204,0.183135682103294,-2.03615216397966
"ENSG00000197381.16","HAVANA","gene",NA,NA,"ENSG00000197381.16","protein_coding","ADARB1","2","HGNC:226","OTTHUMG00000090295.8",-0.782325129070981,4.74663335807589,-2.90006628260531,0.003883211163113,0.183135682103294,-2.2492499194422
"ENSG00000237438.7","HAVANA","gene",NA,NA,"ENSG00000237438.7","transcribed_unprocessed_pseudogene","CECR7","1","HGNC:1845","OTTHUMG00000150027.5",-2.40904053614487,1.44499622861838,-2.89979954232285,0.0038864654248116,0.183135682103294,-2.01827052919431
"ENSG00000135378.4","HAVANA","gene",NA,NA,"ENSG00000135378.4","protein_coding","PRRG4","2","HGNC:30799","OTTHUMG00000166219.3",-1.17556013603178,5.21402068284731,-2.89952316522817,0.00388983987695952,0.183135682103294,-2.25524127397162
"ENSG00000006025.12","HAVANA","gene",NA,NA,"ENSG00000006025.12","protein_coding","OSBPL7","2","HGNC:16387","OTTHUMG00000178288.2",0.845239841216342,3.19100367713134,2.89830987028101,0.00390468531281143,0.1831962249109,-2.25929002181732
"ENSG00000115602.17","HAVANA","gene",NA,NA,"ENSG00000115602.17","protein_coding","IL1RL1","2","HGNC:5998","OTTHUMG00000130782.4",2.02933207551494,-0.877559506651044,2.89776740014138,0.00391133945936877,0.1831962249109,-2.05473353908906
"ENSG00000110060.9","HAVANA","gene",NA,NA,"ENSG00000110060.9","protein_coding","PUS3","2","HGNC:25461","OTTHUMG00000165870.5",-0.76146536012517,3.60956416394005,-2.89576403276712,0.00393600312880764,0.183876269878266,-2.15270507292455
"ENSG00000170689.10","HAVANA","gene",NA,NA,"ENSG00000170689.10","protein_coding","HOXB9","1","HGNC:5120","OTTHUMG00000159907.4",-2.23850783405393,-0.0383460668220973,-2.88914219473861,0.00401853640655977,0.186858143051367,-2.03833929345858
"ENSG00000187479.8","HAVANA","gene",NA,NA,"ENSG00000187479.8","protein_coding","C11orf96","2","HGNC:38675","OTTHUMG00000166555.7",1.1317701901928,2.12635048371913,2.88699805086677,0.00404559635724753,0.186858143051367,-2.21989320261556
"ENSG00000081052.13","HAVANA","gene",NA,NA,"ENSG00000081052.13","protein_coding","COL4A4","2","HGNC:2206","OTTHUMG00000149892.3",1.64464313798561,1.04043485404182,2.88672007118512,0.00404911669106343,0.186858143051367,-2.16041102884009
"ENSG00000138185.20","HAVANA","gene",NA,NA,"ENSG00000138185.20","protein_coding","ENTPD1","2","HGNC:3363","OTTHUMG00000018818.8",-0.733955151219357,5.08561285574899,-2.88670001058027,0.00404937084633986,0.186858143051367,-2.32413927665731
"ENSG00000070193.5","HAVANA","gene",NA,NA,"ENSG00000070193.5","protein_coding","FGF10","2","HGNC:3666","OTTHUMG00000131153.5",-4.0526190081505,1.71293371955656,-2.88654174447221,0.00405137648787307,0.186858143051367,-2.04538373149558
"ENSG00000162437.14","HAVANA","gene",NA,NA,"ENSG00000162437.14","protein_coding","RAVER2","2","HGNC:25577","OTTHUMG00000009102.5",-1.5464257757438,4.22872942569148,-2.88472376296288,0.00407447995804593,0.187446760709494,-2.169161917296
"ENSG00000225526.5","HAVANA","gene",NA,NA,"ENSG00000225526.5","protein_coding","MKRN2OS","1","HGNC:40375","OTTHUMG00000155368.9",-1.69512067782583,0.528085824766622,-2.88022641949459,0.00413214971471954,0.188611828443723,-2.06790198884964
"ENSG00000220785.7","HAVANA","gene",NA,NA,"ENSG00000220785.7","transcribed_unprocessed_pseudogene","MTMR9LP","2","HGNC:27920","OTTHUMG00000007461.5",1.15047637334317,1.49422055113332,2.88013146690517,0.00413337526507911,0.188611828443723,-2.17729069034228
"ENSG00000103269.14","HAVANA","gene",NA,NA,"ENSG00000103269.14","protein_coding","RHBDL1","1","HGNC:10007","OTTHUMG00000121141.4",1.62984250494976,1.28879756077411,2.88006069258242,0.00413428896236647,0.188611828443723,-2.19738632661466
"ENSG00000117602.13","HAVANA","gene",NA,NA,"ENSG00000117602.13","protein_coding","RCAN3","2","HGNC:3042","OTTHUMG00000003298.9",-0.882564904513846,5.09439721541288,-2.87924965930996,0.0041447725385699,0.188611828443723,-2.33000128605698
"ENSG00000156500.15","HAVANA","gene",NA,NA,"ENSG00000156500.15","protein_coding","FAM122C","2","HGNC:25202","OTTHUMG00000022716.2",0.746177841556467,1.42778811469909,2.87870452016205,0.00415183270159139,0.188611828443723,-2.14977352037574
"ENSG00000140961.14","HAVANA","gene",NA,NA,"ENSG00000140961.14","protein_coding","OSGIN1","1","HGNC:30093","OTTHUMG00000137640.7",1.24112081037722,2.35329779268596,2.8768987857925,0.00417529720672434,0.188844076092303,-2.27505120701444
"ENSG00000159387.8","HAVANA","gene",NA,NA,"ENSG00000159387.8","protein_coding","IRX6","2","HGNC:14675","OTTHUMG00000172239.4",-2.6786924339049,-0.722301338209047,-2.87670811554438,0.00417778188861378,0.188844076092303,-2.07031867815023
"ENSG00000163803.13","HAVANA","gene",NA,NA,"ENSG00000163803.13","protein_coding","PLB1","1","HGNC:30041","OTTHUMG00000152014.5",1.10798537688084,1.41062419783597,2.87512863749114,0.00419841632865085,0.189270047897796,-2.18156786064403
"ENSG00000213930.12","HAVANA","gene",NA,NA,"ENSG00000213930.12","protein_coding","GALT","2","HGNC:4135","OTTHUMG00000019836.7",0.857506298892867,2.63244805082403,2.87307788750286,0.0042253458268444,0.189270047897796,-2.2718779298031
"ENSG00000136541.15","HAVANA","gene",NA,NA,"ENSG00000136541.15","protein_coding","ERMN","2","HGNC:29208","OTTHUMG00000153843.6",-2.09302977680365,0.329298457988032,-2.87304401114821,0.00422579199152998,0.189270047897796,-2.08253405091505
"ENSG00000101463.6","HAVANA","gene",NA,NA,"ENSG00000101463.6","protein_coding","SYNDIG1","2","HGNC:15885","OTTHUMG00000032104.2",-2.44721791672901,2.16846495137621,-2.87280255794829,0.00422897326484649,0.189270047897796,-2.09534334206074
"ENSG00000122861.16","HAVANA","gene",NA,NA,"ENSG00000122861.16","protein_coding","PLAU","2","HGNC:9052","OTTHUMG00000018494.6",-1.62694399714758,5.85554230969051,-2.86512298088912,0.00433129915445101,0.193372237619652,-2.37269908326943
"ENSG00000110711.10","HAVANA","gene",NA,NA,"ENSG00000110711.10","protein_coding","AIP","1","HGNC:358","OTTHUMG00000167674.5",0.777122252475454,5.35732463296504,2.86333822973576,0.00435539999997148,0.193970467811998,-2.49128440143221
"ENSG00000163378.14","HAVANA","gene",NA,NA,"ENSG00000163378.14","protein_coding","EOGT","2","HGNC:28526","OTTHUMG00000156279.4",-0.876011593786853,4.31767469333651,-2.86109661426414,0.0043858429229067,0.194432016972683,-2.30422847782984
"ENSG00000143641.10","HAVANA","gene",NA,NA,"ENSG00000143641.10","protein_coding","GALNT2","2","HGNC:4124","OTTHUMG00000037771.2",0.858576146445547,6.15317540026414,2.86003637915366,0.00440030902495188,0.194432016972683,-2.50735344769157
"ENSG00000164379.7","HAVANA","gene",NA,NA,"ENSG00000164379.7","protein_coding","FOXQ1","2","HGNC:20951","OTTHUMG00000016160.3",-2.49960686245502,0.117040513747889,-2.85974556053808,0.00440428459596834,0.194432016972683,-2.11459591413145
"ENSG00000167792.13","HAVANA","gene",NA,NA,"ENSG00000167792.13","protein_coding","NDUFV1","1","HGNC:7716","OTTHUMG00000166215.8",0.830170058503515,6.4887319613095,2.85881632685977,0.00441700936764069,0.194432016972683,-2.50855971682419
"ENSG00000175928.6","HAVANA","gene",NA,NA,"ENSG00000175928.6","protein_coding","LRRN1","1","HGNC:20980","OTTHUMG00000154934.3",-3.41692996377883,3.57417503132452,-2.85864223588175,0.0044193970535554,0.194432016972683,-2.13813518111652
"ENSG00000077684.16","HAVANA","gene",NA,NA,"ENSG00000077684.16","protein_coding","JADE1","2","HGNC:30027","OTTHUMG00000161176.7",0.670671294687718,4.82103474748297,2.85634774697574,0.00445097613840671,0.195304060909517,-2.48946320124047
"ENSG00000171812.13","HAVANA","gene",NA,NA,"ENSG00000171812.13","protein_coding","COL8A2","2","HGNC:2216","OTTHUMG00000007665.7",-2.09753993823435,5.55543490856618,-2.85563928758105,0.00446076802474566,0.195304060909517,-2.31788840998326
"ENSG00000130584.12","HAVANA","gene",NA,NA,"ENSG00000130584.12","protein_coding","ZBTB46","2","HGNC:16094","OTTHUMG00000033001.4",0.785747556449559,3.00199317365726,2.85409666653097,0.0044821569223853,0.195637727616936,-2.35336188213211
"ENSG00000121989.15","HAVANA","gene",NA,NA,"ENSG00000121989.15","protein_coding","ACVR2A","2","HGNC:173","OTTHUMG00000150603.3",-0.906857128314932,3.72352866811429,-2.85353444488232,0.00448997543245314,0.195637727616936,-2.26402170057188
"ENSG00000234602.9","HAVANA","gene",NA,NA,"ENSG00000234602.9","protein_coding","MCIDAS","2","HGNC:40050","OTTHUMG00000162600.3",-3.49550160024744,-0.877283099324275,-2.85043312520889,0.00453332692534577,0.197052958870066,-2.13833765988872
"ENSG00000169715.15","HAVANA","gene",NA,NA,"ENSG00000169715.15","protein_coding","MT1E","2","HGNC:7397","OTTHUMG00000133014.2",1.6571611902653,4.08356952355975,2.84844800232369,0.00456127499247607,0.197793470128281,-2.51865649338549
"ENSG00000198417.7","HAVANA","gene",NA,NA,"ENSG00000198417.7","protein_coding","MT1F","2","HGNC:7398","OTTHUMG00000176838.4",1.15866529088884,2.64359873476136,2.84259731035856,0.00464455820291614,0.200924252950019,-2.3867890538683
"ENSG00000267013.6","HAVANA","gene",NA,NA,"ENSG00000267013.6","lncRNA","LINC01929","2","HGNC:52751","OTTHUMG00000176191.4",-2.35936831604109,0.0517541903142098,-2.83716349301952,0.00472314148305991,0.202354102547276,-2.17290629281432
"ENSG00000064703.12","HAVANA","gene",NA,NA,"ENSG00000064703.12","protein_coding","DDX20","2","HGNC:2743","OTTHUMG00000011956.4",-0.517483943354685,4.68211251498097,-2.83637173500975,0.00473469200115232,0.202354102547276,-2.44499242238699
"ENSG00000064201.16","HAVANA","gene",NA,NA,"ENSG00000064201.16","protein_coding","TSPAN32","2","HGNC:13410","OTTHUMG00000009762.20",1.32977437372412,-0.625608416799554,2.83618092330691,0.00473747947843239,0.202354102547276,-2.20253468811666
"ENSG00000234616.9","HAVANA","gene",NA,NA,"ENSG00000234616.9","protein_coding","JRK","2","HGNC:6199","OTTHUMG00000160911.9",0.920820151563017,4.29384706148664,2.83569926628182,0.00474452240331057,0.202354102547276,-2.5294503306936
"ENSG00000265107.3","HAVANA","gene",NA,NA,"ENSG00000265107.3","protein_coding","GJA5","2","HGNC:4279","OTTHUMG00000014020.6",-1.4897663058199,3.38007955768493,-2.83543072772626,0.00474845317469183,0.202354102547276,-2.25262667160777
"ENSG00000171903.16","HAVANA","gene",NA,NA,"ENSG00000171903.16","protein_coding","CYP4F11","2","HGNC:13265","OTTHUMG00000182294.5",2.47310273840899,1.1574958359154,2.83525756770322,0.00475098939643602,0.202354102547276,-2.38157362890846
"ENSG00000065357.20","HAVANA","gene",NA,NA,"ENSG00000065357.20","protein_coding","DGKA","2","HGNC:2849","OTTHUMG00000170109.14",0.871568108989245,4.43873462554078,2.83480471465637,0.00475762800933429,0.202354102547276,-2.53811567102608
"ENSG00000197558.13","HAVANA","gene",NA,NA,"ENSG00000197558.13","transcribed_unitary_pseudogene","SSPOP","2","HGNC:21998","OTTHUMG00000157884.8",1.47674652142675,1.51966763656852,2.8341717865603,0.00476692054439407,0.202354102547276,-2.32863947919797
"ENSG00000088882.8","HAVANA","gene",NA,NA,"ENSG00000088882.8","protein_coding","CPXM1","2","HGNC:15771","OTTHUMG00000031706.3",-2.06523061249975,4.36615071045843,-2.83278450668463,0.0047873459801592,0.202746339337303,-2.28361677534662
"ENSG00000171243.8","HAVANA","gene",NA,NA,"ENSG00000171243.8","protein_coding","SOSTDC1","1","HGNC:21748","OTTHUMG00000090807.2",-3.68528305100464,0.246025164729574,-2.82979740186834,0.00483159609876063,0.203897297900895,-2.19144873928057
